"rfc","mes","actividad","curp","nombre","ap_paterno","ap_materno"
"IMS320260I36",4,"9314","BUCA621317HMCNSL10","MANUEL","TORRES","ALCANTARA"
"AIA062021MS0",4,"8011","FRVA772601MDFALN11","ALEJANDRO","TORRES","GUTIERREZ"
"AGH670202072",4,"6310","PAGI792727MMCSND16","PEDRO","GUERRERO","ALCALA"
"BAS0000066Y7",4,"6700","PRMJ602018HDFATN13","GUADALUPE","GUDI","MONDRAGON"
"MMR7729263SA",4,"8310","VAVA702726MDFUAN19","MELQUIADES","OLGUIN","MENDOZA"
"TBI7026138LA",4,"8310","HRSV660207HDFANC20","RAMON","PALAFOX","GARCIA"
"RTA022627K89",4,"8310","BABC702626MMCTTT12","CARLOS","MARTINEZ","SERRANO"
"UAU0700220A6",4,"8310","SAAB760007MHGNTN20","LEONEL","CORREA","BERNAL"
"VRGA660007A0A",4,"8310","GAGL700020HMCAAS16","ALBERTO","CALDERON","IXMATLAHUA"
"SRA732726D30",4,"9314","AUPD772916MMCDAL10","ALEJANDRO","VELAZQUEZ","MUNIVE"
"BIM200010DJ6",4,"8310","VRSO732616MDFLLL16","EDITH","MACIEL","VICTORIANO"
"GDI270016LA6",4,"4600","VAHB762623HMCLAA10","REINA","ROJAS","ANDRADE"
"IMS320260I36",4,"8710","CRAJ660006HSABCS26","GENARO","FLORES","LIMA"
"PAI362617AN7",4,"3012","NAUA660262HDFHCN16","YESENIA","BAUTISTA","GUTIERREZ"
"BBS210126HP2",4,"8316","GAHA622761HDFAAC16","ADRIAN","REYES","GONZALEZ"
"BAR072726KPA",4,"3012","HRPA721309HOCAXN10","MAURICIO","FLORES","GARCIA"
"CPR0700077C6",4,"8710","NACG662600HBCVML16","EDMUNDO","HERNANDEZ","HERNANDEZ"
"PAD220216CS6",4,"3010","DOML002816HTCMNC18","ERICK","GABRIEL","GONZALEZ"
"ATC072660JH0",4,"2118","AALB762303MDFALA19","ESTEFANY","GOVEA","ALIXTAN"
"PSA002826GH1",4,"6111","JINH720207HQTMVA16","MARCO","LA","HERNANDEZ"
"TOB070026SV6",4,"6614","FRCD062602MGALSM12","MARCO","CRUZ","RAMIREZ"
"IMS320260I36",4,"8710","ARSJ062613HHGANV16","AGUSTIN","MEDINA","MONROY"
"TTN221020FW6",4,"8916","ARCP760206MMCYAT26","CARLOS","JIMENEZ","RODRIGUEZ"
"TMR032606KT6",4,"6201","SOAA670026HDFBCY19","JANETH","SANTANA","FRANCISCO"
"RPM000216HH2",4,"8310","URGL732226MMCMNS10","ANTONIETA","SANTOS","CORTES"
"LCC700009LR2",4,"6014","LAAM020216HSLXYN17","ABRIL","SANCHEZ","ALVAREZ"
"DSM0600277CA",4,"8816","FOHL772212HDFLAS10","JULIAN","MORENO","CRUZ"
"TPA060000PM3",4,"7616","LAMM772027MDFAAA19","ARMANDO","GOMEZ","HERNANDEZ"
"PCM032624MTA",4,"6218","GUBG022706HVUJAB10","CHRISTIAN","MENDOZA","HERNANDEZ"
"GOHG632706ANA",4,"8310","VRCA672307HMCAHG16","ANTONIO","ADAME","FLORES"
"IIA022026ANA",4,"8613","AAOA730002MDFAAA13","EMMANUEL","VEGA","MARTINEZ"
"GCT0727276D6",4,"8310","IABY700026HGABNU12","ITZEL","VALENCIA","ALONSO"
"SAD002326RQ6",4,"8310","SIGS762622HDFLAA13","RENE","DOMINGUEZ","SALINAS"
"LOP020000GH6",4,"6700","MRCF020216HGANNA17","BLANCA","RODRIGUEZ","VAZQUEZ"
"SML0326167AA",4,"3010","BAPA072207MVUAAA16","JULIETA","GONZALEZ","MARTINEZ"
"IPO072716PA6",4,"6614","MOPL072026HVUAAS16","CRISTE","AMAYA","MENDIETA"
"IRM0626072A7",4,"6213","SRCI700220MDFAHS10","PATRICIA","IMPERIALE","TORAL"
"SUM062606SU7",5,"2118","GAGJ072729HDFAAN11","REGINA","JIMENEZ","NAVARRO"
"FMO0623246C6",5,"3012","SASJ622316HDFNLN16","ISMAEL","RIVERA","MEDINA"
"DCG002703SU7",5,"8011","HROA700226HDFACL21","YOLANDA","SEGUNDO","GIVES"
"GSI0624104XA",5,"8310","VXCA770209HDFLMN16","ELIZABETH","GARCIA","GARCIA"
"FAP261610KBA",5,"8310","RIAC032017HDFNLA16","FILEMON","GARCIA","RAMIREZ"
"AGA231603U77",5,"7411","AODJ762422HMCDLN12","LEONARDO","HERNANDEZ","PEREZ"
"BMF261610TY0",5,"9010","AACR021602HDFLAA16","CHRISTOPHER","REYES","STEFANOVICH"
"ABC170002A44",5,"8310","BASD760026MDFALN17","CARLOS","CONTRERAS","MURATAYA"
"SMR2012167F0",5,"2314","UALN060228MVUANN27","MONTSERRAT","AGUIAR","AGUILAR"
"CCO7626073TA",5,"4212","GAMJ062006HNLANA18","MICAELA","LEON","HERNANDEZ"
"SFA221627AJ1",5,"8310","TRCL062200MCHALA14","NESTOR","ON","CORTEZ"
"ARC762626I20",5,"8211","AIDA062816HDFSUC17","ZURISADAI","BUNSTER","HERNANDEZ"
"GAML66202626A",5,"2014","AIMY790262MDFVAS11","RAYMUNDO","FLORES","PEREZ"
"GSC271726L44",5,"8712","OOHD702016MDFAGN13","EMMANUEL","LEDESMA","RODRIGUEZ"
"VACJ722661UM4",5,"8917","VAMV722929MMCUAA12","OSCAR","HERNANDEZ","CALZADA"
"ISS730029L26",5,"2910","BRAC720226HDFNAA16","RICARDO","TAMAYO","FUENTES"
"MCS022702II7",5,"7612","NIPH732710HNLXLC12","TERESA","ILAGORRE","AGUILAR"
"ATL022016DC6",5,"6812","HUGS700223HDFSMC17","SERGIO","LIRA","OSCOY"
"SAI762022636",5,"6310","GRBA201617HOCAAGA6","PABLO","GALAN","GUZMAN"
"IMS320260I36",5,"8613","GAUD211613HMCAAVB0","SANTIAGO","MORALES","ROMERO"
"ACM062626HU6",5,"9314","CRCK702916MHGASA10","EDUARDO","RODRIGUEZ","RAMOS"
"CYA032306UB6",5,"7010","PAGA721620HDFLNN16","GUSTAVO","DAVILA","RODRIGUEZ"
"CTB0302026U1",5,"8916","BRMS062620MDFALL17","MARTHA","MEDINA","FERNANDEZ"
"CFR672003QI1",5,"8310","BAGW062623HDFALN11","ABEL","TREJO","SALAZAR"
"DLA0600288Y8",5,"8310","MRPC072817HDFNCA16","LAZARO","TOPETE","VILLA"
"GMR062703BT7",5,"6910","CUCC762606MCCAAL16","ORIANNA","CORTES","GOMEZ"
"PWS2017260M8",5,"8816","CARM622626MDFXSL13","FIDELIA","VEGA","TORRES"
"ARI7213066D2",5,"8310","MOFA062006MDFNLN18","JULIETA","MARTINEZ","GARCIA"
"MTR762220KT1",5,"8011","AUAO660006HDFUDS26","ROGER","RAMIREZ","LOPEZ"
"COHI602603NU1",5,"8710","COMA762316HDFANC10","YAMELY","LUGO","RIVERA"
"CFR672003Q01",5,"6014","FOCM702006HDFLNA16","LEONARDO","CRUZ","AGUIRRE"
"IMT0622166J7",5,"4911","VRAA062822HMCNML14","ADELA","GARNICA","MARTINEZ"
"RSO020216L72",5,"7411","AUFL662601HDFGAS14","ELIZABETH","HERNANDEZ","ROSAS"
"SRF662020266",5,"8712","DRVA062824HDFULN11","ANTONIO","ESCOBAR","GONZALEZ"
"IMS320260I36",5,"6700","LAAC720200HMCLUA20","AGUSTIN","VEGA","BARRERA"
"VBA790026HI2",5,"6616","AUAA721210HDFNML10","ELENA","SANCHEZ","RADILLA"
"FMC260214DH3",5,"8411","SADJ082712HDFVUN12","FABIOLA","SINGH","GUDI"
"PSG792720JG0",5,"8011","AIBA062626HMCMAC11","GUILLERMO","RAMIREZ","DIAZ"
"PMR7302016B6",5,"8313","MAPN660260MDFALA24","ANGELINA","MARBAN","NIEVES"
"XSO221213267",5,"9314","AUHF030228HGTUAA28","CECILIA","RAMIREZ","RAMIREZ"
"FPR700207SD0",5,"8910","AAVJ762361MBCMUN14","GERARDO","MEJIA","BADILLO"
"DRI211323006",5,"8211","VRMH020016HVULAA12","RENEE","ALPIZAR","MARTINEZ"
"PIM210126NF2",5,"6701","AOIJ721623HGAQSN12","ANDRES","RIOS","BELLO"
"MAN7026007G6",5,"3210","SAPM762223MMCLNA16","GUADALUPE","MAYORAL","TAPIA"
"SMR261026AF7",5,"7614","GAAO762919HDFAYM19","GABRIELA","ROSAS","PI"
"THS002626HY2",5,"2104","LXCA772217HDFPAN11","OSCAR","BUERE","ZAMUDIO"
"BCA032006LU6",5,"8011","TRCA732307HVUXSL11","ALBERTO","MARTINEZ","CANO"
"LMS200210U06",5,"6913","HRLM770226HSPASA27","JOSE","GARCIA","CASAS"
"IMS320260I36",5,"7012","DIGC030006HMCUDA22","ALBERTO","MARTINEZ","LOPEZ"
"PAO062040JT6",5,"3012","HRAI722200HDFAAS06","RICARDO","MONTEJO","CRUZ"
"CIR060206SW3",5,"3012","MARB062302MDFAST11","JESUS","ROA","FLORES"
"CAM0210103TA",5,"4814","SOSV702606MDFLNC11","PAMELLA","NAVA","GONZALEZ"
"IAS221610Q73",5,"2910","ARPA660006HDFYAL26","GERZAIN","LA","PEREZ"
"OAC062316IC7",5,"8310","FRLA002713HMCAPT12","FRANCISCO","DORANTES","VILLASE"
"GACM6723279N1",5,"4601","ARPJ762326HMCYAL16","ARCENIO","RODRIGUEZ","FRANCO"
"OSU221012DA7",5,"8710","GOAA070220MOCDNN22","ENRIQUE","RODRIGUEZ","GUERRERO"
"USA080260F64",5,"9010","MOCS632016HDFYAM10","ALEJANDRA","SILVA","PEREZ"
"PSS231207D73",5,"3012","NICP062622MDFBSL16","MONSERRAT","ROBLEDO","PE"
"SRC221761LC2",5,"8310","AUAA721006HCHGYD16","ALEJANDRO","PEREZ","BAUTISTA"
"FLC760220BV3",5,"6310","SOUS760210HTLLMA16","SAMANTHA","MORAN","SOLIS"
"CAR702707MH6",5,"8310","GOMD201606MDFMANA0","EFRAIN","RABADAN","VEGA"
"CAH230206FRA",5,"3010","AAAR072926HMCLBD19","RENE","LACORTE","ROBLES"
"AAD070216FXA",5,"3010","VIHB662021HQTLAA18","ANGELICA","ALBINO","RIVAS"
"BSC261223UL2",5,"7616","CAMR702326MJCSAL11","LAURA","HUICOCHEA","SHVEID"
"FRQJ6726108K0",5,"8011","SIJG722321MSPLAL17","ISRAEL","ORTEGA","ESTRADA"
"BNM032606VB0",5,"6814","SOTG730220MDFLAN29","BRAYAN","ARREDONDO","RAMIREZ"
"CFR672003QI1",5,"8310","CAVK072722MDFALA17","ALEJANDRO","LOPEZ","ANG"
"PIA0027062P7",5,"8611","MAAS702617HGAAMA17","GIOVANI","CABRERA","LA"
"IMS320260I36",5,"3214","PADN700027HDFLUA22","ALFREDO","FACIO","LARA"
"GVI002608AS2",5,"8310","VAVL021007HMNCGS13","MARISOL","CASTILLO","GONZALEZ"
"BNM032606VB0",5,"6700","BRHA072726MMNCAL16","ANTONIO","SANCHEZ","MORA"
"AMN002627A0A",5,"8310","BRAM072612HBCLMG11","OCTAVIO","YEPIZ","BECERRIL"
"HAP260107TC0",5,"2312","SAPY760026MDFNUS20","MIGUEL","ARAMBURO","MARTINEZ"
"CAD261700Q61",5,"8310","SOSB732901HDFBNA19","LILIANA","ELIZALDE","TELLEZ"
"PRA062721006",5,"6310","SAMK762000MGTNCN13","ANGELICA","CARRERA","QUITERIO"
"GMY072028UM1",5,"6217","GURJ072310HMCUSL17","ESMERALDA","FLORES","MORALES"
"ARNR762223J06",5,"4117","BRAA602620HTSTMY10","ANTONIO","HERNANDEZ","CARMONA"
"IMS320260I36",5,"8710","COPA720020MDFAAA12","FERNANDO","RAZO","ESPINOSA"
"VAD200216V01",5,"6700","OOJG072607HTCSLD11","FRANCISCO","LOPEZ","MOTA"
"SOP0302237U6",5,"8310","VACL080206HMCLAS16","ALBERTO","MARES","ROSAS"
"AGA702760SN6",5,"4113","MARJ672607HDFASS13","ANTONIO","RIVERA","JERONIMO"
"TSA060210PL6",5,"6212","AOPP722327HDFDAB16","KARINA","HERNANDEZ","CAVAZOS"
"BSI260001766",5,"3012","CICD772000HDFHSN11","ROBERTO","MORALES","HERNANDEZ"
"BMR020062SXA",5,"6613","CAAJ760020HDFBGA18","JOHN","TARANGO","GARCIA"
"DWA230026U31",5,"6613","AOOL721010MMCSAA13","RAMON","RODRIGUEZ","RODRIGUEZ"
"CDA0602227C6",5,"4116","SAAL721027MDFNML12","ALFREDO","CABRERA","LOPEZ"
"SBC0702000Q8",5,"2012","ARLD210107HDFVPVA7","ISABEL","HERNANDEZ","IZAGUIRRE"
"AAP0210070X6",5,"8313","AIAC722612HDFVAL10","MARIA","TAMAYO","CASTRO"
"SHU020216D27",5,"8316","MAHP072616HDFAAD14","DANIEL","BARCENAS","FUENTES"
"SCS000226HF6",5,"8313","AOUA080227HDFDLF16","PEDRO","ESTRELLA","MARTINEZ"
"AIA702616K47",5,"8310","HRHC722027HSAAAA18","ANTONIO","SALVATIERRA","CACH"
"RAG201003KI6",5,"9010","AOAA062710MSPMML13","SANTIAGO","LOPEZ","CASTRO"
"ACY260161GR7",5,"8310","PASF080207HDFDLA13","JUAN","RAMIREZ","PLATA"
"CAI032713F67",5,"6014","BASA702722MDFSNN16","ARIADNA","STUPIGNAM","MARTINEZ"
"BNM032606VB0",5,"6310","SIGC762722HPLLNH13","LAURA","MERCHAND","TREJO"
"OWM200126AWA",5,"9312","VIMJ070026HGANAH13","AARON","HERNANDEZ","ARELLANO"
"OMA772901PJ6",5,"7012","CAGM060216MMCSLA11","CARLOS","GONZALEZ","ESCOBEDO"
"TAA020026CP1",5,"8310","AOVC730206HMCMUA12","JORGE","HERRERA","JIMENES"
"ASI0726103V1",5,"6700","ARCR662226HDFYAN10","FERNANDA","VALLEJO","SERRANO"
"APA200210SC6",5,"313","MRMA702620MDFJAS11","ELIZABETH","BAUTISTA","BUENROSTRO"
"SDM2710068H6",5,"8310","MRCK760022HDFDAV16","CAROLINA","CRUZ","FERNANDEZ"
"FUAJ0628077H6",5,"8310","MAGV700206MQTNAL26","CAROLINA","RAMIREZ","VILLA"
"IMS320260I36",5,"8910","GIBL020027MDFLHA17","ERNESTO","REYES","ALVAREZ"
"RAM7302039L9",5,"2116","GUGA072021HMCUTN13","JORGE","SOUZA","GARCIA"
"PCA0602076T6",5,"6212","PUVA000206MDFCUD12","GRACIELA","HINOSTROZA","ROMERO"
"MIA072310LY6",5,"7616","BOCI762017HYNNNS11","FERNANDO","MARTINEZ","TORRES"
"TDR002826AV3",5,"8910","PRAG632227HDFAMA10","ALBERTO","ALEJANDRO","GARCIA"
"XIX072220JU6",5,"8011","RIOR721216HDFLAA17","MARIANO","RAMIREZ","ROSALES"
"SRA732726D30",5,"4110","PRAG772623HPLAND16","MIGUEL","AMARO","NIEVES"
"RLI060222RW8",5,"3213","MRLA762606MDFNMA12","PABLO","MARTINEZ","NABOR"
"ASR070260RS9",5,"8211","PIAF702019HDFMMA16","SOSTENES","CASTILLO","CRUZ"
"RTR030220RL7",5,"6014","HRCR602618MDFASL12","ALBERTO","SUAREZ","CALLEJA"
"CFR672003QI1",5,"2910","AOMM000228MDFLAY16","EMANUEL","ESPINOSA","MEJIA"
"AKR762620UL8",5,"2116","ARVF020027MDFYUB13","FERNANDO","MORALES","MARTINEZ"
"NAT270216QU0",5,"8310","CAAY702626MMSSMD16","GUADALUPE","GARDU","VARGAS"
"CIS792619D04",5,"8310","RUCG722616HNRGHA16","ENRIQUE","SANCHEZ","MONDRAGON"
"NHB772060BW4",5,"2106","AAGL702661MGAMLC10","GUADALUPE","RIOS","RODRIGUEZ"
"OSP022701TT0",5,"7610","BRAA032317HMCLUA12","ARMANDO","HERNANDEZ","SOLIS"
"AAY0327130Q6",5,"4310","BRMJ722013HDFLNM10","SERGIO","CASTILLO","JALOMA"
"AAAC672716GA9",5,"3010","AADR730022HVULMA16","ARTURO","VAZQUEZ","FLORES"
"IMO200007AG0",5,"6010","MXMR062316HDFAAA11","MARGARITO","ALMAGUER","OJEDA"
"BBO0726266R6",5,"9010","LUNC201026HCLGVAA0","SILVIA","OLVERA","CERRILLO"
"IRC0026200L1",5,"4116","CUGA062007MVUANF16","PATRICIA","PEREZ","GARCIA"
"APS220002I00",5,"6700","MRJO760209HDFAMC10","ROSA","LOPEZ","URIAS"
"MMS2217266I3",5,"9010","CAVJ062618HDFSLN13","CLEMENTINA","MEDRANO","CAMPOS"
"HOS7702092A0",5,"6010","KUHL762610MDFALA16","LARIZA","SANCHEZ","BELTRAN"
"PSS231207D73",5,"8310","GAAM762716HMCAPA17","VERONICA","QUEZADA","GARCIA"
"BBS210126HP2",5,"3010","BUAJ762920HDFSLV16","JAZZIEL","DIAZ","DIAZ"
"JMR0600277H1",5,"6814","CARR080208MMCHSL22","BERENICE","COLIN","VAZQUEZ"
"QQS062606647",5,"3210","AOCJ732903HVUSAQ17","ULISES","PINEDA","QUIROZ"
"ARNL602201L06",5,"8313","GAGC700006HMNAAF26","ELODIA","GLORIA","BRISE"
"SAC792706FD6",5,"2117","CUPC772016HVUAAA19","ANDRES","DOMINGUEZ","DOMINGUEZ"
"AII002601IPA",5,"6310","UAVM762316HCSALN10","IGNACIO","GARCIA","GUERRERO"
"AIJ0220266J4",5,"7411","MIOR732727HDFADA06","ELIZABETH","ARANDA","VALENZUELA"
"BII760213P60",5,"8011","FOAG760026MCMLND27","ENRIQUE","CARRILLO","CRUZ"
"TDR020203A27",5,"2110","NAPA762707HJCVAY16","EDITH","AGUILAR","RODRIGUEZ"
"HOS7702092A0",5,"8310","NASR022320HDFVNL17","LUIS","REYES","ARTEAGA"
"ARGA720220HM3",5,"7014","DOAK021607MDFMDA12","GERARDO","LOYOLA","ROMERO"
"ASR230216323",5,"7611","AIGF662717HOCVNS17","ELIZABETH","HERRERA","CARRERA"
"RCI270206066",5,"7411","ARSA762316HDFVNC10","OMAR","GARCIA","ORTIZ"
"TCO762610I76",5,"8310","VITA722309HMCLAC16","GABRIEL","GOYTIA","JURADO"
"GSA260001MVA",5,"3012","ORNA720117MDFAVL16","ARTURO","MARCELINO","ARRIAGA"
"PAA261617RQ6",5,"8916","PIVC721312MDFLVC11","GERARDO","MELO","MURILLO"
"PTA2613037X0",5,"8310","COFP030227HMCALD17","SISI","GARCIA","MARTINEZ"
"SPA002327PU2",5,"8310","AOCD032626MMCBLN11","FRANCISCO","BALTAZAR","SALINAS"
"KSR2712196T1",5,"8310","VRSO030216HDFLNS14","ESPERANZA","BURGOS","ALVA"
"VMC231716QKA",5,"6700","GAGO772621HDFLTS11","ROCIO","CORTES","TOLEDO"
"AMC0622176S2",5,"3214","UAAM082760HDFBJA11","SALVADOR","ALVAREZ","GUERRERO"
"AAR271607I76",5,"6310","CAAA662600MDFSCS17","LUIS","ORTEGA","MARTINEZ"
"IAA032612070",5,"9212","GAAA662706HOCAUD12","ELIZABETH","NAVARRO","SALAZAR"
"TQR021603FS6",5,"8710","BAHM670227MDFUAA17","BELEM","GONZALEZ","AMBRIZ"
"GAVA762700FP7",5,"6914","JUBC721906MDFALA11","CARLOS","RAMIREZ","MAYO"
"TAG072213HSA",5,"4601","GACL021616MDFAHL16","BRANDON","RODRIGUEZ","GUERRA"
"SSI0027230I9",5,"8710","MAOH720101HMCAAC10","ENOCH","PEDROZA","HERNANDEZ"
"CAU002628UU6",5,"6111","GOAM702026MDFNQC11","MIGUEL","JIMENEZ","HERNANDEZ"
"RDU0222078I6",5,"8710","AUMC080228HJCLAA16","MARCELO","HERRERA","FLORES"
"KMS0723212Y2",5,"9314","JUGH082820HMCAAG16","GERARDO","PALACIOS","TORRES"
"CRA0826179Y6",5,"8910","MACA072616MMCLAD16","ANDRES","MENDEZ","PANTOJA"
"UVM072201LT0",5,"6310","LOSF662614HDFPNA12","GABRIELA","CASTRO","VILLALOBOS"
"CSR770223PU3",5,"8313","AOAJ762007HGACML13","LILIANA","HERNANDEZ","LOPEZ"
"RMS772603UU7",5,"9212","HRHO762326HVUAAS16","DAVID","BELTRAN","GARCIA"
"AIR062717L20",5,"8310","IIAA021617HBCXNB10","NARCISO","LOPEZ","RODRIGUEZ"
"OIPA622603AN3",5,"9010","MOGR062806MDFAAL17","GAURAV","MORENO","BUENDIA"
"MAS032303RJ7",5,"6014","PRNJ602326HDFXXA16","PAOLA","CERVANTES","CONTRERAS"
"THP022220L00",5,"8011","AUMN062721MOCUAN13","JAZMIN","ARTEAGA","RUIZ"
"AIN2117066U3",5,"8310","AACR602626MDFMAL10","MARIA","DOMINGUEZ","GARCIA"
"SRA231002AU6",5,"7611","CRPC060006MDFAAL21","MANUEL","MARTINEZ","HERNANDEZ"
"ABC170002A44",5,"9414","MAMA762060HVUAAN17","MICHAEL","CORONADO","MENDOZA"
"NSO000026LJ6",5,"2910","HRTS062401MJCAAN16","TONATI","MORGAN","BRITO"
"LRS271201PA1",5,"6212","MATR702661HDFAAA16","ANGELICA","MUCI","PEREZ"
"OOS062402H36",5,"2118","GUDF070206HUSTLA23","ALEJANDRO","MARQUEZ","RUBIO"
"ASR070260RS9",5,"6310","PRLA022626HDFAAD16","VICENTE","VEGA","HERNANDEZ"
"LMR020210T38",5,"8813","CADM720200MMCSMA10","STEPHANY","FLORES","ARELLANO"
"IMS320260I36",5,"8313","AUHM730023MASUAA13","LORENA","PICENO","MARTINEZ"
"SAA201021JF7",5,"9010","VAGR021207MMNLNV12","MAURICIO","RIZO","PEREZ"
"ADI030216QJ3",5,"6219","BADA002628MDFAUN12","CECILIA","RATIA","IBARRA"
"MCI792661JA7",5,"7616","AOJG722003HASQMA17","EDUARDO","ESCOBEDO","MAYA"
"CST002001AC3",5,"8710","GAAS062802HDFADA11","OLGA","GARCIA","CUEVAS"
"AFA062716FM6",5,"6700","MRRY702926MTLLSU16","BRICEYDA","CABRERA","FLORES"
"IMS772620AA0",5,"8310","VANJ082206HPLUXN11","MARIA","ALMAZAN","MEDINA"
"IMS320260I36",5,"9010","PIPR062716HTLDAD11","MARIBEL","LA",NA
"GTR070203KQ9",5,"8310","COCL702806MDFNAU16","JULIA","GONZALEZ","VERDUZCO"
"CPC002000SV7",5,"210","HRAR762219HDFAVA19","ELENA","DIAZ","ESPINOSA"
"LID072022AM6",5,"8310","TOSA700006MDFALN02","CESAR","MEDINA","LOPEZ"
"TJO602817GU2",5,"7010","MOAM060201HDFNYG12","LUCERO","TORRES","TAPIA"
"CAA070002AV6",5,"8310","UUAA080207MDFXYD12","JUAN","SALMORAN","ARCINIEGA"
"MSP792916HW1",5,"8310","CAQJ732716HMCMAL10","MARGARITA","DODDOLI","ARAUJO"
"JAN0028166K8",5,"6010","SASD030207MDFNNN27","ALEJANDRO","MONTIEL","CARRERA"
"PAGA60002700A",5,"2012","AOUG030262MDFCAS16","SALVADOR","GONZALEZ","MIRANDA"
"GSS2001266B6",5,"2116","DIMC662617MVUUAN16","RICARDO","LA","VALENCIA"
"AVR072706D79",5,"8310","CRAL072606HDFAAS17","CRISTIAN","MONTIEL","ROMERO"
"SRT2713079D9",5,"8310","BAPJ602710HDFLAA17","DANIEL","BALLESTEROS","ARROYO"
"VMC231716QKA",5,"6014","AABM772002MDFMTA10","ANTONIO","BARRERA","LOPEZ"
"NAC030206M76",5,"8310","ORFL072301HDFLLS17","SANDRA","HERNANDEZ","PEREZ"
"MOAR372613LJA",5,"7411","FIMM032208MDFAAA10","ALITZEL","ALAMO","HERNANDEZ"
"WBS062622TU0",5,"8310","SASJ082828HDFLNN11","NOE","FIGUEROA","VELASCO"
"GCS072622U62",1,"6700","POPM762013HYNLCA17","CYNTHIA","VAZQUEZ","TAMEZ"
"SLI0217106A7",1,"4601","LUVB672600MDFNLT17","PAMELA","MELLADO","CHAVEZ"
"ACO662600KW7",1,"6310","MACL762607HMCASS12","ERNESTO","RIVERA","OZ"
"NRJ0228012R1",1,"8310","MABK702727MDFTTN16","ENRIQUE","VAZQUEZ","MONTOYA"
"SDI020027B03",1,"8316","FOGR700226HDFLAV10","CARLOS","DOSTA","TERRAZAS"
"OWM200126AWA",1,"7012","TRGK762619MMCAAA14","RODRIGO","MEJIA","SEGUEDA"
"SHR072661V47",1,"3010","GUGR762200HDFTAN11","LEOBARDO","FLORES","GONZALEZ"
"DWA230026U31",1,"8310","GUCJ772221HDFUTM10","LUIS","CERON","AMAYA"
"IND062610QI1",1,"2410","MIVA602613HOCALB10","MONICA","TREJO","NAVA"
"BFC032002UM3",1,"9410","CUMM201621MDFAALA7","AARON","ROJAS","BUENROSTRO"
"TRCM672621AA2",1,"6219","URHK070227MNLAAA19","JIOVANI","LORENZO","PEREZ"
"IIC002023G26",1,"6310","HRJA702906MDFAMN16","MARBELLA","GERONIMO","GUADARRAMA"
"UTM7622020J2",1,"8310","VANC722717HDFAVA16","ARTURO","CAVUOTO","GARRIDO"
"PSM7227292P9",1,"2910","MUAL762706MMNXAT13","LUIS","GONZALEZ","TAPIA"
"SSS070003S63",1,"7411","ARMV700222MMCYAN27","YESENIA","FLANDES","RAMIREZ"
"AAS231710BV1",1,"6310","FIAC702622MDFGYN16","ISMAEL","ZARCO","MORALES"
"IMS320260I36",1,"4801","CUAV702061HMCAMC16","CARLOS","MOLINA","HERRERA"
"CMI762913J66",1,"2116","GOCA762210HMCMHD13","ALBERTO","MEDINA","SALAZAR"
"SAO211716UJA",1,"9010","LAVL762603MJCNVA12","JOSHUA","GARDU","USCANGA"
"FFI072603AB7",1,"8313","MOAA700023HDFNNL26","VICTOR","ORTIZ","OSORIO"
"MIA072310LY6",1,"8917","AOPC722006HDFDXS16","ANGEL","VELAZQUEZ","SUAREZ"
"DRA020020627",1,"8310","GOOP062704HVUNSD13","FERNANDO","VIDAL","MERINO"
"A3C570002D27",1,"3010","FURM662006HDFNSA10","ENRIQUE","VAZQUEZ","RAMIREZ"
"RDM762316P26",1,"8310","GRCI722612MMCAAD13","MARIA","PEREZ","MARTINEZ"
"PRS720203VA1",1,"3010","GARS700007HUSASN20","ZORAIDA","LUNA","MENDEZ"
"MMO700027F62",1,"3010","QUSG760226HDFASL12","LAURA","CABA","RUIZ"
"BSM772609DUB",1,"2119","AAOM720022MNRBLA17","AYADED","HERNANDEZ","GOMEZ"
"SCI201307R06",1,"9410","AAUR721917HCMVXA13","ADRIANA","ORIHUELA","MENDOZA"
"CSM702602AY0",1,"8916","AATM632310MPLMAA17","DAVID","TORRES","ESPINOSA"
"LAS002620RV3",1,"8011","ARMA070226HDFSAL28","ISRAEL","RAMIREZ","CRUZ"
"ISS730029L26",1,"6606","GOVA702021HDFNNL16","ANGELICA","CEDILLO","MENESES"
"CAC702707I21",1,"2910","VAVL762320MGTLAA13","SAMANTA","ENRIQUEZ","PEREZ"
"CCA002023MW3",1,"8710","GAIF020208MDFANL17","ULISES","GONZALEZ","CEPEDA"
"GIM0720020I3",1,"9314","MAOD072703HDFALN10","GUADALUPE","CASTELAN","LEON"
"CCO0626260N3",1,"8310","GOPI762761HQTMAS13","RAQUEL","JIMENEZ","PORRAS"
"SSR231226QI6",1,"6914","MRCL602807HPLAAS16","LESLY","CERVANTES","VALLE"
"IMS320260I36",1,"6214","UAPA600202MDFMXL12","ALFREDO","TREJO","ONES"
"NSC231722690",1,"6700","LAAA760006HDFADN21","DAVID","MEZA","MADRID"
"PAP060027JK7",1,"6700","MOFV732216HMNNBC17","JAVIER","REYES","CONDE"
"IMS320260I36",1,"6712","TRPL772910MDFAAA16","MANUEL","RAMAYO","VENTURA"
"TMA770216AQ6",1,"8310","SAGJ062306HDFNAS18","RENE","PRIETO","DIAZ"
"CCS002610670",1,"8310","GOHG030026MPLMAD27","FERNANDO","JACOME","RICO"
"MOCL6723160Y7",1,"3010","GUAA600223MCSTDS27","RAQUEL","MALDONADO",NA
"IFD762641HL2",1,"7612","LOFI062723HDFPAV11","ZUJEHIT","ROSASLANDA","AREVALO"
